Age,AnnualIncome,SpendingScore,PurchaseFrequency,AverageBasketSize,LoyaltyPoints,PreferredCategory,CustomerID,Gender
52.70454259280495,60215.00454133394,71.0540778009108,5.1562172186638096,100.40834334425837,1357.513328427237,Clothing,1117,Female
21.9181728540883,49322.31653709717,70.68351178082175,3.5071732474011172,88.41376738952295,659.8090627540356,Luxury,1369,Male
34.67226196609498,25647.414470761556,34.832829036720845,1.2709190735893816,27.656650889579364,61.24893098299461,Groceries,423,Male
31.112304800775114,30079.037720559198,37.24405947316377,1.2004911274457533,29.166198555615345,165.0779751578022,Groceries,414,Male
36.82562705991505,32691.620111984634,25.714151353217808,1.4486371177070525,24.518336440307536,83.78326965225324,Groceries,452,Female
46.265383574649164,69468.9319830309,64.2023555188043,6.098859158619566,108.5668410132145,1597.1166200155033,Clothing,862,Male
53.5793637234548,58110.365804650384,64.93312893689556,7.9976218968303225,96.63481731024918,1178.8410685077993,Clothing,1064,Male
31.933195937408584,31715.335044629675,36.65859431148456,1.3028646287399266,19.581524545594714,241.00866988846624,Groceries,742,Male
35.798696303305,45974.05075758655,79.91638945297078,4.913791468738997,128.2528790452562,963.9050308238482,Luxury,1273,Male
43.87317026714668,109878.95624739832,98.87231840335198,10.428291247982152,245.19674205430977,3278.393402691391,Electronics,260,Male
51.39174317322335,66995.34051279296,68.04520827367084,5.259859282564082,123.91062776173419,1210.7066650749061,Clothing,889,Male
23.161488368911066,53873.76619477473,85.63046259066134,5.65402495486005,103.61166243055763,756.5707507566385,Luxury,1433,Male
29.987640341970526,32498.832192480113,33.16319648595147,1.9083673254734121,32.148265061166015,288.4039598191279,Groceries,713,Female
20.911479240069635,35785.3947073918,76.44161150632532,4.565653385782435,88.47600432017556,945.3333379459536,Luxury,1383,Male
41.80697802754207,126696.72548830039,81.53906403258418,14.341356402566293,249.80238429029083,4183.394324612651,Electronics,71,Female
35.27427309906584,50358.985885277616,76.17721798472927,4.814850039443113,145.79150899927896,881.4744392557806,Luxury,1269,Female
23.207722465815944,46622.3205950576,76.81151874842237,3.035614040008078,148.90870129021488,665.3004049850009,Luxury,1492,Female
33.54712448451319,25060.846595397674,25.75890685351985,2.330111978013262,13.07318384489063,419.5498493998058,Groceries,608,Male
33.576584821637084,30771.68343532205,23.928384317440347,1.022605073178045,35.73687030002554,429.8226726763032,Groceries,434,Female
38.07458859791842,110350.76539419896,98.50496634831332,11.18025231673232,214.9646290203246,4662.7470287714195,Electronics,52,Female
23.735416136403405,50546.80354922504,78.53183802108786,3.6776442388007275,104.63981063815271,874.608582545449,Luxury,1200,Female
32.69165219526276,43745.22500781328,75.50893359581018,5.438785216181811,126.87637790879171,955.3989555244339,Luxury,1129,Male
27.31131232227102,51669.30786599932,75.25267224732147,3.6135130160783877,150.79715890212918,911.6131796232497,Luxury,1191,Female
24.275795616321002,26084.85583069429,87.97277856602207,4.443821855482815,138.53243257284376,907.9104255126476,Luxury,1250,Male
15.179839210145452,41488.05106747557,83.3520342716647,3.494202026663172,125.65339369571207,916.9583002305185,Luxury,1420,Male
36.016514717845375,33406.69751592805,22.520040557279884,2.1665047846251135,42.41147343878727,123.48058349594626,Groceries,433,Male
20.148080091243735,41796.29060391077,81.8382880883814,4.624518846367463,169.2512773557398,509.2853593825494,Luxury,1453,Female
24.238510107529265,69786.12866210249,70.22779336177106,5.060303386791508,146.35440965399286,987.991559696225,Luxury,1471,Female
23.18193352049191,49880.17781096295,72.47144981198981,5.685200168808643,133.64940815205597,721.626720737481,Luxury,1235,Female
25.084125331439054,54112.38512549174,78.07097241627376,3.8127276697406134,194.0904179161115,514.2600124193241,Luxury,1282,Female
